id,query,vertical,ldap
59,How does the citizenship status of people compare between California vs Georgia?,,
60,Tell me about citizenship of people in Florida.,,
61,Correlate median home value vs. hypertension in US counties.,,
62,"With statistics, Which countries around the world need the most humanitarian aid?",,
63,Which countries have seen the greatest increase in female participation in education?,,
64,Which countries have the biggest barriers to quality education?,,
65,Does obesity correlate with lack of sleep in US counties?,,
66,Are global completion rates for upper secondary education rising?,,
67,Compare Debt vs GDP in countries in Europe.,,
68,Has violence against women reduced globally?,,
69,Show me the education attainment breakdown by Gender in New York City.,,
70,Compare Educational Attainment vs Poverty in Florida.,,
71,Tell me about the electronic Waste generated in different countries.,,
72,What is the extinction rate of endangered animals over time?,,
73,How is Employment in Florida?,,
74,Tell me about the Foreign born population in Texas.,,
75,How are children globally doing in the area of literacy-numeracy?,,
76,Is the number of women dying from pregnancy or childbirth decreasing?,,
77,What are the different bachelors major types in Texas?,,
78,Compare Median home value vs. Work from home population in US counties.,,
79,How has an increase in education funding compared to population growth in developing countries?,,
80,How have commute patterns changed in the US over the past decade?,,
81,Which industries rely most heavily on imports from China?,,
82,"With statistics, what are the most common industries in my hometown of Fargo?",,
83,How has informal employment changed over time in Bangladesh?,,
84,"What are the major emissions in Harris County, Texas?",,
85,What is the distribution of home values in Miami?,,
86,Compare Median rent vs. Masters degree holders in California counties.,,
87,what are the worst commute metropolitan areas in usa and how bad are they?,,
88,"Compare progress on poverty in Mexico, Nigeria and Pakistan.",,
89,"Explain more about:  Mortgage Rates, Inflation, and GDP Growth - A Complex Dance Affecting Your Life.",,
90,which are the most affordable towns in santa clara county?,,
91,"Providing the stats, tell me which countries are experiencing the most immigration vs emigration.",,
92,Compare the number of rooms per house in New York City vs Salt Lake City.,,
93,What is average high school classroom size in North Dakota compared to South Dakota?,,
94,Compare Obesity vs Unemployment in the US counties.,,
95,How are children worldwide doing with physical development?,,
96,Is worldwide gender parity in educational outcomes increasing or decreasing?,,
97,Who are the most poor Louisiana?,,
98,How are immigrants from South America impacting the US economy?,,
99,How has property tax rates changed in Chicago over the last decade?,,
100,"With statistics, What's the most popular way to commute to work around San Francisco?",,
101,"With statistics, Which state in the US has the best health outcomes?",,
102,"With statistics, Which countries around the world are richest?",,
103,where are the richest countries in Europe? show statistics.,,
104,Where has maternal mortality improved the most?,,
105,Which areas of land are suitable for food in USA?,,
106,How have deaths by suicide changed?,,
107,Which Schools have the most high school teachers in California?,,
108,Which countries have the highest Gini Index in the World?,,
109,"With statistics, Which countries experience the most earthquakes?",,
110,Which countries are most affected by malnutrition?,,
111,Which countries have the most incoming remittances in the world?,,
112,Which cities in California have the most pollution?,,
113,What percentage of national parliaments globally are female?,,
114,How many People with Asthma are in Phoenix?,,
115,What is the Number of students in São Paulo?,,
116,Show me stats about farming in Sonoma County.,,
117,What is the student demographics among schools in Sunnyvale?,,
118,What is the median income in Santa Clara County?,,
119,What is the typical salary in Orlando?,,
120,What percentage of families share a home with another family in Cook County?,,
121,What's the pollution level of the ozone in Cass County?,,
122,What's the average occupancy of houses in Houston?,,
123,What's the undergraduate enrollment population in Dallas?,,
124,Compare Mental health in Mercer County vs Arlington County.,,
125,What's solar production like these days?,,
126,What is the gender distribution in the US?,,
127,What percentage of the world has health coverage?,,
128,How much food goes wasted around the world?,,
129,Which country has the highest vaccination rate for COVID?,,
130,Tell me about the economy in Brazil.,,
131,Tell me about economic equity in California.,,
132,Tell me about environmental policies in Texas.,,
133,Tell me about gender equity in North Carolina.,,
134,Show me immigration patterns across the world.,,
135,Tell me about health equity in California.,,
136,Write a few paragraphs about how health outcomes differ in Northern vs Southern states using data and numbers where possible.,,
137,Write a few paragraphs about how health outcomes differ in Urban vs Rural areas in the US using data and numbers where possible.,,
138,"Tell me about High blood pressure in Jackson, MS.",,
139,Compare Hispanic population vs. Green Jobs in Texas counties.,,
140,Tell me about Housing in Oakland.,,
141,Tell me about Immunization in Pakistan.,,
142,"Tell me about the Industries in Dallas County, TX.",,
143,Tell me about pollution in Los Angeles County.,,
144,Tell me about the population in Japan.,,
145,Tell me about Progress on health related goals in Pakistan.,,
146,Compare Racial breakdown of population vs. obesity prevalence in Alabama counties.,,
147,Tell me about Remittances in Lebanon.,,
148,Tell me about School Enrollment in California.,,
149,Tell me about the foreign born population in Texas.,,
150,Compare Violence vs poverty across the world.,,
151,How did the wage of various industry change over past 50 years. What should I do given this change? Give me numbers when needed.,,
152,Tell me about Wet bulb temperature events in India.,,
153,Tell me about Widowed population in San Francisco.,,
154,Show me the range of inventory for crops on a farm in USA.,,
155,Show me the breakdown of businesses by type in the US.,,
156,Which countries have the least access to internet in the world? Use numbers when needed.,,
157,Tell me about the different wildfires across the world.,,
158,Show me how food jobs have changed over the last 5 years in Texas.,,
159,Tell me about the GDP of France.,,
160,Tell me about Health behaviors in India vs Norway.,,
161,Compare High blood pressure vs Asthma in Alabama.,,
162,Tell me about imprisonment rate across different US states.,,
163,Compare Income vs. Hypertension in US counties.,,
164,Tell me about India's literacy rate.,,
165,Show me the connection between countries for international jurisdiction.,,
166,Give me statistics on Married people in New York State.,,
167,Tell me about maternal mortality across countries in the world.,,
168,Compare Median rent vs. Median Income in US counties.,,
169,Tell ma about the rate of population growth in Canada.,,
170,Tell me about Poverty in Mexico.,,
171,Tell me about Prisoner to guard ratio in different prisons.,,
172,Show me the SDG goals on gender equality across the world.,,
173,Rank the top 10 cities in santa clara county by average annual income.,,
174,"Using numbers, tell me about the different Languages spoken in California.",,
175,Show me historical heat wave data on the United States.,,
176,Show me coverage of farmland in Wyoming.,,
177,Show me greenhouse gas emissions levels across the globe.,,
178,Show me crimes based on demographics of victims.,,
179,Show me how natural gas consumption in Argentina has changed this decade.,,
180,Rank the top 10 cities in santa clara county by median home price.,,
181,Show me cities with the highest increase in home prices in the last 3 years.,,
182,which are the top 10 elementary schools in santa clara county?,,
183,Give me the numbers for which countries have the least gender inequality.,,
184,Compare Income vs Health Insurance in the US.,,
185,Compare Poverty vs Unemployment in the US.,,
186,List of countries that consume the most energy per capita each year.,,
187,Which are the biggest health issues in Arizona?,,
188,What are the demographics of divorced people in California?,,
189,What about health equity in Santa Clara County?,,
190,What are all the major pandemics in the last 100 years and how do the affect the world?,,
191,What is the Racial breakdown of population in Texas vs New York State?,,
192,What's the recycling system like in the US?,,
193,What is the statistics of women in managerial positions in India?,,
194,What's the medical industry like in the United States?,,
195,What crops will survive the best in the future with global warming?,,
196,What factors affect crop production in Louisiana?,,
197,How does farming affect the environment?,,
198,What is the impact of crime on society?,,
199,How does education play a role in employment in the US job market?,,
200,What is the efficiency of different types of energy sources?,,
201,How does the food industry contribute to the economy of the region?,,
202,How does heart disease compare across genders?,,
203,What percentage of the population is born outside of the country?,,
204,How common is it for children to have asthma in San Diego County?,,
205,How hard is it to get into UC Berkeley?,,
206,Which is the most eco friendly form of renewable energy?,,
207,How many people in Nevada have a bachelor’s degree or higher?,,
208,What percentage of homes in the US are owned by foreign residents?,,
209,What percent of kids in attend school in the state of Oregon?,,
210,What are the most profitable sources of energy production in Texas last year?,,
211,How much electricity does an average home use in USA?,,
212,How much of the population of New Delhi is without a permanent home?,,
213,How many kids attend kindergarten in Kansas every year?,,
214,How much solar energy is generated from houses in New Jersey?,,
215,What percentage of India's population can read and write?,,
216,How much electricity per capita is used annually in California?,,
217,How has the GINI index of Spain changed over the years?,,
218,How has inflation changed over the past decade?,,
219,Which country has the most old people?,,
220,how much of the greenhouse gas emissions in California are due to livestock?,,
221,What is the Number of students in Sao Paulo?,,
222,What's the biggest agricultural industry in USA?,,
223,What source does most US oil and gas production come from?,,
224,What's the most common disease among adults in Florida?,,
225,Which states have the highest prevalence of disease?,,
226,What does it mean to be carbon neutral?,,
227,How much of the world's population lives on under $2 per day?,,
228,What's the rate of water withdrawal for Los Angeles County?,,
229,What’s the likelihood of being obese in the US?,,
230,where is the highest unemployment rate in the world?,,
231,Which areas of the US have a composting system in place?,,
232,how much does the average canadian spend on medical care compared to the average american?,,
233,What's the average cost of renting a home using cash in New York City?,,
234,"I want to know how much livestock is produced on average in a US farm, help me?",,
235,how much electricity do people use in the bay area compared with that of new york city?,,
236,How do the most common bachelors majors in Berkeley compare with Austin?,,
237,How have birth rates changed over time in Morocco?,,
238,What is the breakdown of incarceration rates by race in the US?,,
239,How has the mortality rate in Brazil changed over the years?,,
240,Which cities are improving in air quality as time goes on?,,
241,Which US cities have the nicest temperature year round?,,
242,What are the most common types of post-secondary degrees in Europe?,,
243,How does debt correlate with GDP for countries in Europe?,,
244,How does educational attainment correlate with poverty in Florida?,,
245,How does child immunizations correlate with life expectancy in Asia?,,
246,What is the correlation between diabetes and poverty across US counties?,,
247,How do solar installations correlate with median income across US counties?,,
248,How does PM2.5 correlate with asthma across US counties?,,
249,How does cost of living differ across the world?,,
250,What Florida counties are most affected by hurricanes?,,
251,Which US counties have banned plastic straws?,,
252,Which counties in the US have most immigrants?,,
253,Which countries have recently put policies in place to conserve the oceans?,,
254,Which countries have good education systems?,,
255,Which countries have access to clean drinking water?,,
256,Which countries have the best immunization rates in the world?,,
257,which countries have the most tree coverage?,,
258,Which countries have the lowest Gini index?,,
259,Which countries are the most strict about criminal punishment?,,
260,What jobs can I get without a high school degree?,,
261,How has demand for oil changed in the past decade?,,
262,How is the US doing on pay equality?,,
263,What's the distribution of religions in India?,,
264,How has the EU government contributed to improving sustainability over the last decade?,,
265,What is Canada doing to protect the environment?,,
266,How many people are in jail in USA?,,
267,How many teachers are there in Colombia?,,
268,When will we reach net zero energy consumption?,,
269,How many US females are currently in the 11th grade?,,
270,What is the punishment for different crimes in the US?,,
271,What crimes are considered felonies vs misdemeanors?,,
272,How does the population of Florida differ from that of Texas?,,
273,What's the difference between the flu and a cold?,,
274,How well funded is the police in Bulgaria?,,
275,How does the GDP of USA compare with that of China?,,
276,What is the government doing to protect wildlife in the US?,,
277,What is the impact of pollution on ocean life in Tulum?,,
278,How has the stigma around mental health changed this decade?,,
279,How have forest fires changed California in the last decade?,,
280,How active is the population in the US?,,
281,How does life Expectancy vary across countries in Africa?,,
282,What is the Life Expectancy in countries in Africa?,,
283,How does life expectancy vary across US states?,,
284,What is crime like in Louisiana?,,
285,What are the sources of greenhouse gas emissions in the US?,,
286,What percent of men and women are currently incarcerated in Texas?,,
287,What is the Number of People Employed in New York City vs Boston?,,
288,What is the yield of organic vs. conventional farming in Ohio?,,
289,What percent of rental units are currently vacant in Orlando vs Tampa?,,
290,What are the rates of immunization in Pakistan?,,
291,how is the air pollution in Canada compared to the rest of the world?,,
292,What is the correlation between GDP and remittances across countries in Africa?,,
293,How have poverty rates in America changed over the years?,,
294,What is the prevelance of Asthma across California counties?,,
295,How profitable is farming in Michigan?,,
296,Which Louisiana public schools have the most students per class?,,
297,How does school size of urban schools compare to rural schools?,,
298,What were some of the most significant natural disasters in the last 5 years?,,
299,how does the tax rate and property tax differ among the states in USA?,,
300,How important are test scores in relation to being accepted into college?,,
301,what is the criteria to get free lunch in california?,,
302,Which cities have the lowest level of carbon emissions per capita?,,
303,which counties in the world uses the most solar power?,,
304,which countries in the world generates the most greenhouse gas emissions?,,
305,What are the most popular majors in US universities?,,
306,Which are the richest countries in the world?,,
307,Which US states have the largest declining mortality rate?,,
308,Which countries have the highest healthcare expenditure per person?,,
309,Which US states have the largest gender pay gap?,,
310,Which country's economies have grown the most since 2008?,,
311,What are the top sources of CO2 emissions in the US?,,
312,What are the primary crops grown in California?,,
313,What are the most common emission sources in Europe?,,
314,What are the most common jobs in Oregon?,,
315,"With statistics, what are the most common jobs in Santa Clara County?",,
316,What country produces the most crop output?,,
317,Which countries are most affected by climate change?,,
318,What kind of pollution affects Seattle in the summer?,,
319,What percentage of Sonoma County suffers from high blood pressure?,,
320,How much of Washington State is covered in forest land?,,
321,How many people in Nevada have a bachelor's degree or higher?,,
322,What percent of the population has health insurance?,,
323,What percent of people get acquitted from criminal charges?,,
324,How much of the US's carbon dioxide emissions are associated with electricity generation?,,
325,How much of Brooklyn's apartments are rent controlled?,,
326,Which states have the lowest gender pay gap?,,
327,What are the most common allergies in the US?,,
328,Which US states have the smallest homeless population?,,
329,What are the most obese cities in Kansas?,,
330,What is the correlation between obesity and poverty across counties in the US?,,
331,What is the correlation between obesity and unemployment in the US counties?,,
332,How much does the US government spend on Antitrust initiatives annually?,,
333,What percent of homeowners own a second home?,,
334,What's the average size of a US household?,,
335,What is the predicted sea level rise over the next 15 years?,,
336,What's the average age of residents in US nursing homes?,,
337,What is the most common type of farming in Indiana?,,
338,What percentage of cars in the US are electric these days?,,
339,What is the correlation between income and health insurance in the US?,,
340,What state has had the biggest decrease in crime over the past decade?,,
341,How has crime rate changed in the past 10 years in USA?,,
342,What are the Richest counties in CA?,,
343,Tell me with evidence which cities have the highest numbers of tech workers.,,
344,Is crime increasing or decreasing in Nevada?,,
345,How many People of Caribbean origin are in Florida?,,
346,What percent of people own a house in the USA?,,
347,Which states have the most college educated in the US?,,
348,How many people live alone in Alabama?,,
349,Which grades have the most enrollment in Palo Alto Schools?,,
350,Which counties in the US have the most smoke pollution?,,
351,How much of the US population is vaccinated against covid 19?,,
352,Which city in Utah has the lowest rate of arthritis?,,
353,What is the GDP of Iran?,,
354,How many students attend private school in Rio de Janeiro?,,
355,What percent of kids go to school in Oregon?,,
356,"With statistics, tell me which are the most common diseases in Santa Clara County.",,
357,What are the most common bachelors majors in Texas?,,
358,Which counties in the US hav the highest unemployment rate?,,
359,What's unemployment like in Iowa these days?,,
360,What percent of the population living in New York is divorced?,,
361,What percent of people under 25 own their own home?,,
362,What percent of the population attend school in the state of Oregon?,,
363,what percent of the population in the US have post secondary education?,,
364,What’s the average age of the population in the US?,,
365,What's the average income of a farm in Maine?,,
366,Which countries still engage in fossil fuel mining?,,
367,How much have gas prices increased in the US since 2000?,,
368,How has population density in South Korea changed this century?,,
369,What is the number of poor hispanic women in Santa Clara County?,,
370,What is the number of homes in Chicago?,,
371,Which states have the highest minimum wage?,,
372,What's the average age of the population in the US?,,
373,What are the most valuable companies in the world?,,
374,Which countries consume the least energy per capita?,,
375,How is obesity rate in california compared to other states?,,
376,Which state in the US has the most Tamil speakers?,,
377,What languages are spoken at home in California?,,
378,What forms of renewable energy are being used in California?,,
379,What is the Number of privately owned businesses in California?,,
380,Where are the best colleges located in the US?,,
381,How much of the population is underslept in the US?,,
382,Which countries do the immigrants in Florida come from?,,
383,Which state in the US has most people of Caribbean origin?,,
384,What countries have tap water that is safe for drinking?,,
385,Which states experience the most snowfall in the winter in the US?,,
386,What countries have the most people living in them?,,
387,Which US counties have the most children in nursery school?,,
388,What is the Prevalence of high school dropout rates organized by state?,,
389,How many more people have electric cars instead of gas cars?,,
390,Which states have the biggest increase in pollution over the last 10 years?,,
391,What's the female population of different countries across the entire world?,,
392,How does median rent correlate with diabetes in California counties?,,
393,How has the climate in my area shifted over the past 50 years?,,
394,How have mortgage rates changed since 2000?,,
395,Which cities have switched to using compostable plastics?,,
396,What are the most common jobs in Texas?,,
397,How much of the population is married in Texas?,,
398,What are the projected temperature extremes across the counties in Montana?,,
399,Which countries have the lowest life expectancy?,,
400,What does the government spend its money on?,,
401,What is the median age in Texas?,,
402,When is monsoon season in Southeast Asia?,,
403,What are the most common energy sources used by the United States?,,
404,How hard is it to become a US citizen?,,
405,What’s the female population of different countries across the entire world?,,
406,How has the rate of the ice caps melting changed over the century?,,
407,What’s unemployment like in Iowa these days?,,
408,How much energy does the world consume each year?,,
409,What's the worst crime punishable by law?,,
410,How many people live in US military quarters?,,
411,What countries don't allow for dual citizenship?,,
412,What types of trees are in my area?,,
413,Is the covid 19 pandemic?,,
414,What's the average time it takes for a US house to sell once it's listed on the market?,,
415,How much of the US population is physically inactive?,,
416,What’s the average life expectancy in China?,,
417,When is something considered to be clean energy?,,
418,Which countries have the least nitrous oxide emissions from agriculture?,,
419,How many farms are in the USA?,,
420,Which California counties have the best conditions for growing crops?,,
421,How does climate change affect crops?,,
422,What percentage of the world lacks access to clean drinking water?,,
423,Which countries have the highest representation of women in their national parliaments?,,
424,Which counties in California highest the highest work-from-home population?,,
425,What is the educational attainment of homeowners in Boston?,,
426,Which counties have the most Spanish speakers in California?,,
427,How many parents in Florida?,,
428,What percentage of the world's population is undernourished?,,
429,Where in the world are deaths by suicide increasing?,,
430,Which countries have the best universal health care?,,
431,How is the access to primary school education in Afghanistan?,,
432,Which states in the US have done the best job in vaccinating against COVID19?,,
433,Which is the best state to live in terms of diversity in the US?,,
434,How have health outcomes in the African countries improved over the last few decades?,,
435,"I want to view hate crime statistics in New York, help me?",,
436,Which California school districts have the highest academic test performance?,,
437,What are agricultural counties with the highest median incomes in the US?,,
438,Which areas in the US have the highest crime rate?,,
439,What were the most severe hurricanes in Florida last year?,,
440,Which cities have the highest number of women PhDs in Pennsylvania?,,
441,Which countries emit the most methane from coal mining?,,
442,Tell me about Home value in Detroit.,,
443,How many deaths per year are due to pneumonia?,,
444,Which countries have shown the greatest decrease in violence against women?,,
445,Where are the Highest rates of infant mortality in the world?,,
446,Where is maternal mortality the worst?,,
447,Which states in the US have the most Tamil speakers?,,
448,Have global poverty rates increased since COVID?,,
449,Which city in the US is likely to run out of water first?,,
450,Where is the most US food grown?,,
451,"Based on the numbers, which country is the most liveable?",,
452,What are the different businesses by industry in New York State?,,
453,Which are in the US have the least criminal activity?,,
454,Have deaths by TB decreased globally?,,
455,Have deaths by Malaria increased in africa?,,
456,What percentage of people are moving out of the Bay Area?,,
457,Is the switch from renewable to fossil fuels leading to loss of jobs in the US?,,
458,What is the demographics of students in Sunnyvale?,,
459,What is the average GPA of students admitted into Harvard each year?,,
460,What percentage globally has access to sately managed sanitation services?,,
461,What percentage of national parliaments globally are male?,,
462,What are the most common medical conditions in US?,,
463,Which counties in the US have the highest rates of uninsured?,,
464,How much resource does it take to sustain livestock?,,
465,Compare Mental health in Massachusetts.,,
466,Compare Median income vs unemployment rate in California.,,
467,how are crime rates in south america? show statistics.,,
468,What US cities have the best standard of living?,,
469,how has mobile phone usage changed over the last decade? show statistics.,,
470,Tell me about Mortality in the US.,,
471,Tell me about Hunger in Nigeria.,,
472,Show me global temperature increase predictions over the next decade in the US.,,
473,What are modern farming techniques that improve crop yields?,,
474,Tell me about the green jobs in the US.,,
475,Which economic models are used in which countries?,,
476,What are the most common medical conditions in Seattle compared to the US?,,
477,Which are the richest counties in California?,,
478,Tell me about GMO.,,
479,Which US states experience the highest temperatures?,,
480,How much time do people in San Francisco spend commuting?,,
481,Top 3 biggest industries in the US.,,
482,How much of the population sees a dentist?,,
483,What percent of adult females get pap smears?,,
484,What’s the average household income in the US?,,
485,Compare Rental prices in Oakland vs Berkeley.,,
486,Tell me about the crop growing situation in US and the most important states I should look into.,,
487,What are the top universities in the US?,,
488,Show me census data about California.,,
489,How much has malnutrition decreased over time?,,
490,How has the earnings for employees in the information industry in Texas grown?,,
491,What are the top three countries with the biggest reduction in poverty?,,
492,What is US electricity generation by energy source?,,
493,What are wage earnings like for the US construction industry?,,
494,What's the average household income in the US?,,
495,What's the average life expectancy in China?,,
496,Which countries have the most incoming remittances?,,
497,What is the electricity usage of the US?,,
498,What is the solar energy consumption in the US?,,
499,How many crimes were committed in California?,,
500,What are the leading causes of death in the US?,,
501,List out US counties with the worst AQI.,,
502,What is the Percent of population that is physically active?,,
503,What’s the rate of water withdrawal for Los Angeles County?,,
504,Which are the Poorest states in the US?,,
505,Which are the Safest states in America?,,
506,"I want to see global warming trends, help me.",,
507,Compare US citizenship vs. income across counties.,,
508,What's the ratio of private vs public school education students?,,
509,How many people have private vs public health insurance?,,
510,What are the most dangerous cities to travel to?,,
511,How has the average cost of a home changed over time?,,
512,What is the relationship between housing size and home prices?,,
513,What is the relationship between income and educational attainment?,,
514,Which industries are the most well paid?,,
515,What types of crime are the most common?,,
516,What is the Prevalence of early release from prison?,,
517,What is the average number of kids per family?,,
518,How is nuclear fission predicted to affect the energy industry?,,
519,Which countries have the fastest growing GDP per capita?,,
520,Which countries have the biggest decrease in population?,,
521,How likely is New Jersey to be affected by flooding?,,
522,Which countries in Africa have seen the greatest increase in electricity access?,,
523,Which industries have grown the most in California?,,
524,What areas in the world have been most affected by drought?,,
525,which jobs have grown the most in Santa Clara county?,,
526,List out the countries with the highest population density.,,
527,Which countries have the most greenhouse gas emissions?,,
528,What factors are affecting deforestation?,,
529,How has the popularity of smoking changed over the last 20 years?,,
530,What's the relationship between crime rate and income?,,
531,What proportion of the student population has skipped at least one grade?,,
532,What factors affect the economy?,,
533,What types and amounts of energy are produced in each state?,,
534,List the top rated hospitals in my area using reliable data.,,
535,What is the correlation between household income and test score performance?,,
536,Which cities are the least car centric in the US? show statistics?,,
537,Which cities have the most affordable housing?,,
538,Which cities are the least car centric in the world? show statistics.,,
539,What Ratio of people in Denver have an associate's degree?,,
540,Which counties in Illinois have seen the greatest increase in the number of cancer deaths?,,
541,Show me data on atmospheric pollution in the US.,,
542,How has biodiversity in the world changed?,,
543,How has life expectancy changed across the world?,,
544,Show me how live birth rate has changed in Colombia.,,
545,How have house rents in Mountain View changed?,,
546,Which US counties have the most number of PhDs?,,
547,What's the relationship between mortality rate and gdp?,,
548,Which US county has the most number of PhDs?,,
549,Which countries have the smallest carbon footprint?,,
550,Which California counties have the highest average income?,,
551,How much electricity does a nuclear power plant generate?,,
552,how much meat does the average american consume?,,
553,What is the Prevalence of diabetes across the US?,,
554,What is the racial distribution of the US?,,
555,When is harvest season for Idaho?,,
556,How much of US land is used for food?,,
557,Show me wet bulb temperatures for Shandong.,,
558,Which communities in Kansas are uninsured?,,
559,what are the major industries in canada? show statistics.,,
560,What is the correlation of AQI vs blood pressure in New Jersey?,,
561,Which industries have the most jobs on the market?,,
562,Which countries have universal health care?,,
563,What is the Prevalence of pesticide use in farm production?,,
564,How does the immune system work?,,
565,Has the number of foreign students decline in the past few years. Use numbers when needed.,,
566,What is the main farming method used in USA?,,
567,What's the likelihood of being obese in the US?,,
568,What factors affect climate change?,,
569,How much annual income would I need to make to live comfortably in New york city?,,
570,How has EV adoption reduced carbon emissions in California? Use numbers to explain.,,
601,Compare the electricity access in rural India vs rural South Africa.,Energy,Adriana Olmos
602,How has urbanization affected biodiversity in Southeast Asia?,Environment,Adriana Olmos
603,What are the most common causes of death in South America?,Demographics,Adriana Olmos
604,What are the rates of antibiotic resistance around the world?,Health,Adriana Olmos
605,How have smoking rates changed in Europe over the last 25 years?,Health,Adriana Olmos
606,Show me a timeline of the percentage of smokers in Europe over time.,Health,Adriana Olmos
607,How does the access to drinkable water looks like around the world?,Health,Adriana Olmos
608,How does mortality vs birth rates look like around the world?,Demographics,Adriana Olmos
609,How does the quality of healthcare differ between urban and rural areas in Brazil?,Demographics,Adriana Olmos
610,What is the rate of skin cancer in countries around the world?,Health,Kara Moscoe
611,What is the average number of children per couple in countries around the world?,Demographics,Kara Moscoe
612,What is the rate of people who believe in conspiracy theories in countries around the world?,Education,Kara Moscoe
613,What is the rate of people who practise religion in countries around the world?,Demographics,Kara Moscoe
614,What is the annual spending on health care in OECD countries?,Health,Kara Moscoe
615,What is the average home price in major cities in the OECD?,Housing,Kara Moscoe
616,What is the taxation rate for the top 10% of earners in OECD countries?,Economy,Kara Moscoe
617,Which are the top 10 countries of origin of immigrants to the U.S. or Canada in the last 100 years?,Demographics,Kara Moscoe
618,Which are the OECD countries?,Economy,Kara Moscoe
619,What percentage of GDP does each country spend on defense/military?,Economy,Kara Moscoe
620,what percentage of people in nigeria have access to electricity?,Energy,Keyur Shah
621,how has life expectancy changed in europe over time?,Demographics,Keyur Shah
622,which are the most literate states in india per capita?,Demographics,Keyur Shah
623,compare the incarceration rates across states in the US.,Crime,Keyur Shah
624,tell me about green house emission rates across africa.,Environment,Keyur Shah
625,which countries have the highest debt?,Economy,Keyur Shah
626,give me a breakdown of farmers in the US by race.,Agriculture,Keyur Shah
627,show me green house emissions vs mortality rates across the world.,Health,Keyur Shah
628,what percentage of population in california is disabled?,Demographics,Keyur Shah
629,compare renters vs homeowners in the US.,Housing,Keyur Shah
630,tell me about greenhouse gas emission for different sources and countries with quantitative measures.,Environment,Bo Xu
631,how many natural disasters are there in california and how much impact do they have?,Environment,Bo Xu
632,how much different fuels are consumed in the USA and what are they used for?,Energy,Bo Xu
633,what and how much agriculture plants do usa farms grow?,Agriculture,Bo Xu
634,Tell me about the recent trends of new borns in USA and their family demographics.,Demographics,Bo Xu
635,how much extent does education level vary among races and gender across states in the USA?,Education,Bo Xu
636,Give me some quantitative analysis about how income correlates with education level.,Education,Bo Xu
637,Which industries have more jobs and how many more?,Economy,Bo Xu
638,Give me some facts about recent trends of immigrations?,Demographics,Bo Xu
639,How bad is the crime condition getting in San Francisco?,Crime,Bo Xu
640,What are the safest cities in the US?,Crime,Prem Ramaswami
641,which countries emit the most co2?,Environment,Carolyn Au
642,which cities have more foreign born than native born in the us?,Demographics,Carolyn Au
643,what are some relevant statistics about san diego?,Demographics,Carolyn Au
